Date,Open,High,Low,Close,Volume,OpenInt
20150212,33.16,33.75,26.98,27,19436797,0
20150213,26.66,29.1,25.89,29,4854996,0
20150217,28.85,30.63,28.66,30.07,1149445,0
20150218,30,30.619,29.23,29.42,703845,0
20150219,30,30.28,29.66,30.1,559054,0
20150220,30.39,30.39,29.38,29.84,236792,0
20150223,29.55,30.62,29.48,30.53,311174,0
20150224,31.32,31.37,30.04,30.97,231321,0
20150225,30.69,31.93,30.51,31.75,393142,0
20150226,31.8,32.17,31.09,31.4,242860,0
20150227,30.91,31.57,30.9,31.06,170422,0
20150302,31.55,31.72,30.8,31.01,325200,0
20150303,31.05,31.41,29.78,30.57,424600,0
20150304,30.08,30.96,30.06,30.88,110900,0
20150305,31.49,31.49,30.15,30.64,153800,0
20150306,29.65,30.7,29.6,30.53,325200,0
20150309,30,30.28,27.13,29.76,1236000,0
20150310,29,29.61,26.45,27.55,1342600,0
20150311,27.5,27.6,26.74,27.51,861500,0
20150312,28.17,28.17,27.24,27.6,470600,0
20150313,27.49,28.25,27.45,27.88,237800,0
20150316,28,29.64,27.63,29.29,519300,0
20150317,29.15,29.53,28.95,29.06,128300,0
20150318,29.26,29.34,28.51,29.06,228700,0
20150319,29.11,30.03,28.83,30,205200,0
20150320,30.02,31.91,29.33,31.91,1548900,0
20150323,31.75,32.42,30.66,30.8,498800,0
20150324,30.89,31.73,30.33,31.56,244700,0
20150325,31.53,32.29,30.03,30.34,432000,0
20150326,30.5,32.11,29.4,31.7,702500,0
20150327,31.83,31.89,30.4,30.94,376600,0
20150330,30.85,31.37,29.54,29.68,682100,0
20150331,29.48,30.83,28.59,30.21,1838400,0
20150401,29.5,30.55,28.99,29.01,305000,0
20150402,29.16,29.55,28.26,28.96,594000,0
20150406,28.82,29.34,28.28,28.59,809400,0
20150407,28.7,28.76,26.75,26.99,748836,0
20150408,27.04,28.27,27,27.33,425800,0
20150409,27.29,27.8,27.25,27.66,244964,0
20150410,27.68,28.99,27.43,28.46,185200,0
20150413,28.21,29.33,28.21,28.89,247300,0
20150414,28.96,28.96,27.9,28.14,180900,0
20150415,28.15,28.692,27.36,27.67,180408,0
20150416,27.63,27.7,26.88,26.93,500078,0
20150417,26.79,26.9,25.25,26.39,575800,0
20150420,26.62,27.31,26,26.23,348228,0
20150421,26.48,26.49,25.29,25.66,207374,0
20150422,25.56,25.87,24.56,25.83,417685,0
20150423,25.73,27.45,25.73,26.99,485800,0
20150424,26.93,27.25,26.51,26.67,904200,0
20150427,26.7,26.77,26.33,26.43,284900,0
