Date,Open,High,Low,Close,Volume,OpenInt
20150205,9.12,9.4799,8.4,8.88,1175655,0
20150206,9,9.23,8.53,8.96,541614,0
20150209,8.95,9.5,8.9,9.35,40354,0
20150210,9.6,9.74,9.25,9.74,124283,0
20150211,9.7,9.99,8.91,9.93,41445,0
20150212,9.85,9.99,9.8,9.84,73915,0
20150213,9.75,9.86,9.6,9.66,18224,0
20150217,9.5,9.7,9.4,9.5,9782,0
20150218,9.43,9.72,9.4,9.6,29348,0
20150219,9.4,9.68,9.4,9.44,2423,0
20150220,9.41,9.59,9.02,9.5,37132,0
20150223,9.4,9.7,9.07,9.49,50930,0
20150224,9.5,10.06,9.5,9.97,35608,0
20150225,10.7,11,9.89,9.91,76544,0
20150226,10.41,10.41,9.87,9.95,21457,0
20150227,10.06,10.16,9.89,10.03,12482,0
20150302,10.39,10.94,9.95,10.16,167900,0
20150303,10.95,10.95,10.15,10.57,29700,0
20150304,10.35,10.67,10.3,10.52,21800,0
20150305,10.55,10.56,9.96,10.3,49900,0
20150306,10.5,10.5,10.01,10.17,23100,0
20150309,10.12,10.16,10,10.1,8400,0
20150310,10.33,10.33,10.02,10.14,8600,0
20150311,10.15,10.34,9.99,10.17,8000,0
20150312,10.04,10.38,10,10.25,21800,0
20150313,10,10.34,9.91,10.27,19100,0
20150316,10.27,10.27,9.9,10.02,4900,0
20150317,10,10.16,10,10,8300,0
20150318,9.8,9.93,9.71,9.76,11600,0
20150319,9.8,9.91,9.5,9.5,12300,0
20150320,9.5,9.5,8.44,8.46,38500,0
20150323,8.5,8.5,8.04,8.47,18700,0
20150324,8.1,8.9,8.1,8.64,12700,0
20150325,8.53,9.35,7.98,8.01,11500,0
20150326,8.01,8.06,7.08,7.35,25500,0
20150327,7.37,7.85,7.35,7.58,27800,0
20150330,7.45,7.98,7.4,7.42,19000,0
20150331,7.66,8.07,7.65,8.03,10400,0
20150401,8.11,8.8,8.08,8.16,12100,0
20150402,8.45,8.75,8.22,8.55,48300,0
20150406,8.63,8.9,8.26,8.48,19000,0
20150407,8.5101,9.45,8.5101,9.05,6915,0
20150408,9.45,9.45,8.41,9.01,15900,0
20150409,8.5131,9.08,8.5131,8.61,6864,0
20150410,8.56,9.02,8.56,9,4200,0
20150413,9.01,9.13,8.52,8.52,11700,0
20150414,8.57,8.88,8.53,8.73,3600,0
20150415,8.55,8.86,8.53,8.7,5033,0
20150416,8.78,8.9499,8.6815,8.93,10959,0
20150417,8.82,9.34,8.61,9.34,16400,0
20150420,9.25,9.29,8.9,9.01,5950,0
20150421,8.98,9,8.6001,8.88,6242,0
20150422,8.77,9,8.61,8.61,63032,0
20150423,8.66,9.15,8.66,8.81,5100,0
20150424,8.69,8.71,8.69,8.7,2100,0
20150427,8.75,8.79,8.66,8.75,2900,0
20150428,8.66,8.84,8.61,8.63,17100,0
20150429,8.73,9.31,8.6,9.31,22600,0
20150430,8.7,9.13,8.65,8.65,23100,0
20150501,8.9,8.9,8.7,8.81,6900,0
20150504,8.84,8.85,8.7,8.73,32300,0
20150505,8.74,8.8,8.56,8.56,10900,0
20150506,8.55,8.75,8.55,8.68,2105,0
20150507,8.55,8.55,8,8.0101,11206,0
20150508,8.01,8.01,7.4,7.4,10800,0
20150511,7.44,7.97,7.4,7.61,15600,0
20150512,7.57,8.33,6.68,7.21,86872,0
20150513,7.1,8.4,7.05,7.52,46300,0
20150514,7.58,8.2,7.23,7.64,45500,0
20150515,7.6,8.1,7.22,7.32,57802,0
20150518,7.5,7.59,7.1,7.115,11072,0
20150519,8,8,7.09,7.21,31400,0
20150520,7.25,7.3,6.82,6.82,14200,0
20150521,6.78,6.8,5.98,6.09,34900,0
20150522,6.1,6.14,5.65,5.86,61400,0
20150526,5.85,5.9,5.65,5.78,15442,0
20150527,5.6,5.88,4.62,4.74,69600,0
20150528,4.75,5.1,4.51,4.57,46710,0
20150529,4.53,5.36,4.49,4.55,129900,0
20150601,4.49,4.87,4.4,4.4,25900,0
20150602,4.46,4.9099,4.41,4.75,11562,0
20150603,4.75,4.89,4.71,4.86,3700,0
20150604,5.3,5.85,5.2,5.44,53300,0
20150605,5.21,5.89,5.21,5.5,22800,0
20150608,5.5,5.69,5.21,5.5,21400,0
20150609,5.81,5.81,4.86,4.87,20186,0
20150610,4.85,5.37,4.81,5.03,12267,0
20150611,5,5.38,5,5.19,17682,0
20150612,5.09,5.23,5,5.21,23300,0
20150615,5.21,5.21,5.01,5.02,10700,0
20150616,5.02,5.43,5.01,5.29,15400,0
20150617,5.37,5.4,5.15,5.37,17400,0
20150618,5.25,5.39,5,5.06,17300,0
20150619,5.4,5.4,5.01,5.26,22900,0
20150622,5.41,5.44,5.28,5.31,11400,0
20150623,5.4,5.45,5.01,5.1,25904,0
20150624,5.12,5.35,5.03,5.09,25200,0
20150625,5.09,5.21,4.91,4.91,13200,0
20150626,5.05,5.05,4.8,4.88,4700,0
20150629,5.08,5.08,4.75,4.92,17200,0
20150630,5,5,4.91,4.97,11087,0
20150701,4.95,5,4.75,4.87,15000,0
20150702,4.85,4.96,4.75,4.85,10200,0
20150706,4.89,4.89,4.66,4.82,4400,0
20150707,4.72,4.98,4.62,4.98,11300,0
20150708,4.98,4.98,4.61,4.62,7100,0
20150709,4.56,4.97,4.55,4.72,23100,0
20150710,4.6,4.75,4.5,4.51,9400,0
20150713,4.85,4.85,4.53,4.6,19200,0
20150714,4.56,4.68,4.52,4.59,14899,0
20150715,4.64,4.6499,4.55,4.59,18922,0
20150716,4.59,4.69,4.56,4.6,35200,0
20150717,4.6,4.69,4.6,4.65,11500,0
20150720,4.71,4.71,4.58,4.6,18600,0
20150721,4.6,4.97,4.57,4.69,29600,0
20150722,4.81,4.88,4.74,4.76,25600,0
20150723,4.77,4.84,4.57,4.62,21300,0
20150724,4.71,4.71,4.61,4.7,13400,0
20150727,4.84,4.84,4.56,4.59,44100,0
20150728,4.57,4.6,4.05,4.12,63500,0
20150729,4.03,4.23,3.54,3.81,44700,0
20150730,3.67,3.75,3.56,3.74,31700,0
20150731,3.79,3.79,3.61,3.66,9200,0
20150803,3.73,3.8999,3.66,3.79,18724,0
20150804,3.87,4.16,3.7,3.71,14100,0
20150805,4.46,4.46,3.69,4.14,20700,0
20150806,4.1,4.1,3.75,3.75,15203,0
20150807,3.84,3.9,3.81,3.85,4600,0
20150810,3.85,4.47,3.85,4.04,8200,0
20150811,4.02,4.47,4.02,4.24,19174,0
20150812,4.38,4.84,4.29,4.84,38500,0
20150813,4.98,4.98,4.75,4.78,8000,0
20150814,4.8,4.8,4.51,4.65,6100,0
20150817,4.58,4.85,4.02,4.82,9500,0
20150818,4.83,4.83,4.36,4.8,20400,0
20150819,4.36,4.78,4.21,4.75,2600,0
20150820,4.53,5.25,4.53,5.24,6000,0
20150821,5.15,5.15,4.61,4.97,10900,0
20150824,4.52,5.25,4.4,4.7,25580,0
20150825,4.69,5,4.63,4.9,8600,0
20150826,4.74,5.1,4.7,5.1,24400,0
20150827,5.1,5.1,4.93,5.08,7800,0
20150828,5,5.05,4.72,4.81,7000,0
20150831,4.9,4.9,4.12,4.46,18000,0
20150901,4.35,4.5,4.35,4.49,12400,0
20150902,4.49,4.49,3.92,4.27,9100,0
20150903,4.28,4.39,4.28,4.39,1300,0
20150904,4.3,4.49,4.3,4.49,5700,0
20150908,4.49,4.49,4.4,4.49,15300,0
20150909,4.49,6.34,4.4,6.26,111400,0
20150910,6.6,11.3,4.97,4.98,1443948,0
20150911,5.42,6.44,4.85,4.91,457100,0
20150914,4.93,5.88,4.93,5.2,170800,0
20150915,5.39,5.4,4.97,5.13,74800,0
20150916,5.29,5.43,4.6,5.03,134000,0
20150917,4.96,5.1,4.65,4.92,20300,0
