Date,Open,High,Low,Close,Volume,OpenInt
20150626,16.05,17.88,15.9,16.88,9088300,0
20150629,16.79,16.89,15.75,15.77,891300,0
20150630,16,16.25,14.71,15.38,812934,0
20150701,16.66,16.68,15.62,15.72,925200,0
20150702,15.85,17.65,15.6,17.04,695200,0
20150706,16.75,18.64,16.6,18.11,1145700,0
20150707,18.78,19.15,17,17.63,965300,0
20150708,17.36,17.69,16.75,17.39,579000,0
20150709,17.52,17.96,16.3,16.45,329400,0
20150710,16.73,17,15.7,16.15,418900,0
20150713,16.34,16.7,15.8,16.21,249700,0
20150714,16.23,17.65,15.84,17.59,541673,0
20150715,17.6,17.95,17.04,17.09,256465,0
20150716,17.31,17.5,16.61,17.18,340700,0
20150717,17.17,17.96,16.9,17.73,262300,0
20150720,18,18.85,17.37,18.78,400600,0
20150721,18.68,18.68,17.2,18,685700,0
20150722,18.38,18.38,17.74,17.99,299700,0
20150723,18.05,18.46,17.27,17.74,486400,0
20150724,17.81,18,17.3,17.63,158700,0
20150727,17.31,17.76,17.08,17.15,185700,0
20150728,17.37,17.46,16.71,17.08,371000,0
20150729,17.14,18.04,16.91,18.02,353900,0
20150730,17.87,18.35,17.34,18.28,238500,0
20150731,18.24,18.94,18.01,18.53,473300,0
20150803,18.5,18.79,18.06,18.28,282473,0
20150804,18.32,18.32,17.6,18.23,153500,0
20150805,18.4,18.91,18.07,18.86,275900,0
20150806,18.93,18.99,17.34,17.47,476990,0
20150807,17.55,17.96,16.36,17.03,703100,0
20150810,17.28,17.68,17.06,17.54,227500,0
20150811,17.34,17.4,16.91,17.25,273279,0
20150812,17,17.22,16.56,16.82,189200,0
20150813,16.8,16.8,16.1,16.44,324100,0
20150814,16.36,17.02,16.22,16.91,115100,0
20150817,16.83,17.26,16.52,16.84,78100,0
20150818,16.77,17.44,16.69,17.18,120000,0
20150819,17.02,17.5,17,17.44,84900,0
20150820,17.18,17.44,16.58,16.76,200000,0
20150821,16.3,16.75,16.19,16.46,406300,0
20150824,15,17.06,10.26,16.01,325392,0
20150825,16.33,16.89,15.5,15.93,249000,0
20150826,16.37,16.45,15.6,16.29,280700,0
20150827,16.44,17,16.23,16.9,82300,0
20150828,16.89,16.95,16.41,16.8,166200,0
20150831,16.58,17.11,16.58,17.02,79000,0
20150901,16.52,16.91,15.66,15.75,339500,0
20150902,16.09,16.33,15.66,15.92,210600,0
20150903,15.95,16.76,15.87,16.26,313300,0
20150904,15.97,16.29,15.97,16.06,122200,0
20150908,16.35,16.45,16.13,16.22,178400,0
20150909,16.37,16.5,15.64,15.7,95500,0
20150910,15.67,15.86,15.16,15.66,214988,0
20150911,15.54,15.54,14.36,14.71,442100,0
20150914,14.58,14.58,13.89,14.02,268300,0
20150915,14,14.17,13.6,14.03,188700,0
20150916,14,14.72,14,14.52,254000,0
20150917,14.47,14.95,14,14.66,455600,0
20150918,14.67,14.67,13.48,13.69,874100,0
20150921,13.79,14.33,13.21,13.35,225000,0
20150922,13.24,13.4,12.85,13.24,242200,0
20150923,13.29,13.55,12.85,12.98,231900,0
20150924,12.91,13.19,12.55,12.74,288052,0
20150925,12.87,12.94,12.25,12.48,362300,0
20150928,12.36,12.55,11.362,11.51,267009,0
20150929,11.51,11.92,11.15,11.45,243300,0
20150930,11.62,12.22,11.42,11.66,1724800,0
20151001,11.7,11.97,11.47,11.77,267100,0
20151002,11.61,12.05,11.45,12.04,322400,0
20151005,12.2,12.21,11.87,12.03,293394,0
20151006,11.98,12.23,11.9,12.18,161800,0
20151007,12.22,12.6,12.09,12.59,309600,0
20151008,12.52,12.74,12.32,12.55,222800,0
20151009,12.56,12.86,12.26,12.56,159000,0
20151012,12.6,12.75,12.41,12.7,116172,0
20151013,12.65,12.79,12.47,12.52,140000,0
20151014,12.5,12.7,12.31,12.57,53400,0
20151015,12.65,12.87,12.29,12.82,116300,0
20151016,12.82,12.94,12.41,12.45,117600,0
20151019,12.45,12.6,12.21,12.44,152900,0
20151020,12.44,12.65,12.348,12.55,46508,0
20151021,12.53,12.74,12.42,12.53,95800,0
20151022,12.65,12.85,12.56,12.77,73500,0
20151023,12.85,13.05,12.62,12.67,171200,0
